,Tweets
207,"RT @into_AI: Artificial intelligence, machine learning, 5G, IoT will be most important tech in 2021: Study - On https://t.co/GTthccMrGa #ai…"
208,"RT @iamChuckRussell: #TechnoCool: Artificial Intelligence and Machine Learning, 5G and IoT will be the Most Important Technologies in 2021,…"
209,RT @TDataScience: Logistic Regression in Classification model using Python: Machine Learning by @katariVarma  https://t.co/vCuVjrQ4Lw
210,"RT @Houston__AI: Artificial intelligence, machine learning, 5G, IoT will be most important tech in 2021: Study - Financial Express https://…"
211,#entrepreneur #entrepreneurship #business #businessdevelopment #news #forbes Why Automated Machine Learning Is Becoming A Must-Have Business Intelligence Skill https://t.co/8ZX4dVS5ci
212,Why Automated Machine Learning Is Becoming A Must-Have Business Intelligence Skill https://t.co/Ktl9gMNV8E #business #feedly
213,"RT @oth11: All Machine Learning Algorithms You Should Know in 2021 | by Terence S | Nov, 2020 | Towards Data Science https://t.co/JMWuqQ3C3…"
214,"RT @AbbasHaidar_: As long as there is a human writing code, there's going to be unsecure code...
#SAST tools cost hell of money to identify…"
215,"All Machine Learning Algorithms You Should Know in 2021 | by Terence S | Nov, 2020 | Towards Data Science https://t.co/JMWuqQ3C3e https://t.co/N0bLqGFiJB"
216,"RT @AIFeeds: #News: Artificial intelligence, machine learning, 5G, IoT will be most important tech in 2021: Study #artificialintelligence #…"
217,"Agile, GraphQL, Machine Learning, microservicii - https://t.co/2EDrdASXTZ https://t.co/R7xiS3shzA"
218,The Multiclass Classification of Newspaper Articles with Machine Learning: The Hybrid Binary Snowball Approach https://t.co/Ryv9PvcfeP
219,RT @AIFeeds: #News: Why Automated Machine Learning Is Becoming A Must-Have Business Intelligence Skill #ML #artificialintelligence #AI #mic…
220,"@SuhnyllaKler Saluti, the unroll you asked for: @tamaybes: A few months ago, I wrote an economics dissertation on whether machine learning models are getting harder to… https://t.co/mDWMX9yNCQ Talk to you soon. 🤖"
221,"RT @machine_ml: RT @xaelbot: RT @HarbRimah: Google AI Launches ‘Hum to Search’ https://t.co/6ZQUxc6Fso 

#MachineLearning #DataScience #Pyt…"
222,"RT @machine_ml: RT @xaelbot: RT @HarbRimah: Google AI Launches ‘Hum to Search’ https://t.co/6ZQUxc6Fso 

#MachineLearning #DataScience #Pyt…"
223,"#News: Artificial intelligence, machine learning, 5G, IoT will be most important tech in 2021: Study #artificialintelligence #AI #ML https://t.co/2pLfLy4WrO https://t.co/rGGhV0DGAp"
224,#News: Why Automated Machine Learning Is Becoming A Must-Have Business Intelligence Skill #ML #artificialintelligence #AI #microsoft https://t.co/jhQvKIzVlO https://t.co/LPxcMDWZp2
225,"According to Google, retail is in a redefining moment with artificial intelligence and machine learning. https://t.co/TRdvKDEMDf"
226,"RT @machine_ml: RT @xaelbot: RT @HarbRimah: Google AI Launches ‘Hum to Search’ https://t.co/6ZQUxc6Fso 

#MachineLearning #DataScience #Pyt…"
227,"@julien_c No &amp; tell me how you like it
""... removes heavy lifting from each step of the machine learning process to make it easier to develop high quality models."". All AWS high-level tools ended for me in: ""easy is not simple"", ""their high-quality is not my fine-control &amp; sharpness reqs"""
228,"RT @machine_ml: RT @xaelbot: RT @HarbRimah: Google AI Launches ‘Hum to Search’ https://t.co/6ZQUxc6Fso 

#MachineLearning #DataScience #Pyt…"
229,"RT @rasangarocks: Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow

Link - https://t.co/ytXjwuQbXW

#MachineLearning #ML…"
230,"RT @rasangarocks: Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow

Link - https://t.co/ytXjwuQbXW

#MachineLearning #ML…"
231,"RT @TDataScience: In Database Machine Learning — Made Simple by Ben Epstein 
https://t.co/odHyyYM72U"
232,RT @gsvasan: The way we train AI is fundamentally flawed https://t.co/ecNpIuPAGh
233,The way we train AI is fundamentally flawed https://t.co/ecNpIuPAGh
234,"Enterprises are increasingly moving their ETL workloads to the cloud. Read this blog to learn how to select a data-driven platform that brings together data access, transformation, machine learning, and all operational tasks- https://t.co/FUGoL09liW #analytics #ETL #cloud"
235,"RT @gallamine: 7 new remote data science, machine learning engineering, and data science manager jobs: 
https://t.co/Gl1xab3HWT"
236,"RT @222_skawngur: หลังจากทำงานในบ.อินแจ ดัลมีก็ออกมาตั้งบ.ใหม่เอง ใช้ชื่อว่า ""ชองมยอง คอมปานี"" (ชื่อของพ่อดัลมี) ซึ่งดัลมีเป็นCEO 
เอาโปรเจ…"
237,"RT @jennifazor: I can only give what I have, I have skill 😎 so part of my 2021 goals is to  teach &amp; train at least 500 people in Machine le…"
238,"What's a machine learning algorithm that keeps on giving [to Biden]?
Synthetic Minority Oversampling Technique.

👀 Dominion Vote Flipping
Who Wrote SMOTE?
Guccifer 2 - Alex Lazarevic #ReleaseTheKraken
⤵️
https://t.co/N2PLLN2ary

[DS] DemocRAT panic
They know they've been caught. https://t.co/gtD9oBl6Bi"
239,"Our new article: ""Tensions and trade-offs of participatory learning in the age of machine learning"" https://t.co/lm01CaTeE4  #Machinelearning #participatorylearning #computationalthinking #mediaeducation"
240,"This is the right timeline to go on Meetup events. I can find an online event on machine learning almost daily, almost everywhere. The sense of community is much broader and not being limited by local events is excellent, since it adds variety to the type of talks and people!"
241,"RT @TDataScience: So, your stakeholders want an interpretable Machine Learning model? by @nextgamesol  https://t.co/D9BwLZ27kl"
242,"RT @HarbRimah: HOW AUTOMATED MACHINE LEARNING ADDRESSES THE CHALLENGES OF TRADITIONAL ML MODELS? https://t.co/JdI3aiGHWY

#AI #MachineLearn…"
243,RT @gp_pulipaka: Automated Machine Learning Pipelines. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Python #R…
244,@moyheen The past two years we've had over 1000 registered attendees @AbujaAi I'm targeting at least 500 for machine learning next year.
245,"RT @HarbRimah: HOW AUTOMATED MACHINE LEARNING ADDRESSES THE CHALLENGES OF TRADITIONAL ML MODELS? https://t.co/JdI3aiGHWY

#AI #MachineLearn…"
246,"Upon return from my wonderful parental leave, two exciting grants got accepted:
https://t.co/O3d9tt4Z2C where we we will work in the context of @samplchallenges 
and
https://t.co/PBeWZe1pq0 here, our research aims at machine learning of cell painting profiling data"
247,Humanizing AI: How to Close the Trust Gap in Healthcare https://t.co/WZopZl4qi6
248,Urgent need Sr resource who is a Kubernetes (SME) expert working on MLops &amp; Machine Learning environments.  Inbox for info. #kubernetes #hiring #machinelearning #mlops #hotoffthepress #
249,What are #AI and #ML? Where are these technologies heading? Three experts share their views during this @groundbreakers podcast episode: https://t.co/dyA6eYiZ1O https://t.co/EfyzbOqGCA
250,"100 % OFF-Complete Course
Machine Learning made Easy : Hands-on python
#machinelearning #python
https://t.co/0ot9Y6oTr9"
251,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
252,"How AI, and specifically BERT, helps the patent industry @googlecloud https://t.co/vjm5g4QtIU"
253,"RT @Muoki_Caleb: I miss when I used to download kaggle datasets draw a couple of graphs in the name of EDA, do a linear regression model, g…"
254,RT @machinelearnflx: Investment Management with Python and Machine Learning https://t.co/1oawjgqUjU  #machinelearning #ad
255,"RT @RobinWigg: @Sentieo Battle of the buzzwords. Green is ""sustainability""; yellow is ""big data""; red is ""artificial intelligence""; light b…"
256,"RT @NITJofficial: Inauguration Ceremony of the TEQIP-III sponsored Five-day Online Short-Term Course on ""Recent Advances of Machine Learnin…"
257,RT @realpython: 🐍🎧 Real Python Podcast — Docker + Python for Data Science and Machine Learning #python #podcast https://t.co/efEZYJQQLR
258,"RT @drsrinathsridha: I am looking for PhD students to join my group in Fall 2021 @BrownCSDept

If you are interested in 3D computer vision…"
259,"RT @TDataScience: 21 amazing Youtube channels for you to learn AI, Machine Learning, and Data Science for free by @Liberoliber  https://t.c…"
260,RT @realpython: 🐍🎧 Real Python Podcast — Docker + Python for Data Science and Machine Learning #python #podcast https://t.co/efEZYJQQLR
261,"RT @RichardEudes: The way we train AI is fundamentally flawed https://t.co/kgiRVQ7oR8 #artificialintelligence, #businessanalytics #ba, #dat…"
262,"RT @TDataScience: 21 amazing Youtube channels for you to learn AI, Machine Learning, and Data Science for free by @Liberoliber  https://t.c…"
263,"RT @HarbRimah: Google AI Launches ‘Hum to Search’ https://t.co/mHGCq5mqYr 

#MachineLearning #DataScience #Python #AI #100DaysOfCode #DEVCo…"
264,this is me having actually read the question for my machine learning assessment https://t.co/D1KCmnKG90
265,Use cases are increasingly showing the value of using machine learning in clinical care. A recent project is studying breast cancer risk to understand what drives tumor growth. Other endeavors include aneurysm risks &amp; predicting cancer cell progression. https://t.co/XPi1kJgNEB
266,"RT @machinelearnflx: Python for Data science, Machine Learning and AI (Beginners) https://t.co/GQi8H9SuFj  #machinelearning #ad"
267,"RT @PrasoonPratham: Here's what your first 30 days of Machine Learning should look like.

(I wish I had this before)
🧵👇 https://t.co/7LsR7V…"
268,RT @Datascience__: Machine Learning (McGraw-Hill International Editions Computer Science Series) https://t.co/TMWYi0DwYR #datascience #ad
269,How Artificial Intelligence and Machine Learning Transforms Video Technology - by @gilad_maayan https://t.co/dNtIiEGRIk #ML #AI #Data #Data
270,"RT @panderasystems: With Google Cloud, businesses can leverage market and competitor analysis through machine learning at scale. Read more…"
271,RT @machinelearnflx: Python Coding From Scratch: Matrix Multiplication Without Any Machine Learning Libraries! https://t.co/EpnQ8tnBGV  #Ma…
272,"With Google Cloud, businesses can leverage market and competitor analysis through machine learning at scale. Read more → https://t.co/BIseOQ8JWi

#googlecloud #cloud #machinelearning #ml #ai #nlp"
273,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
274,"RT @svpino: Don't start your career in Machine Learning by writing a lot of code. You should start by learning to think about problems. 

I…"
275,"RT @williamalves85: @O_its_OH @Joshxlakeshow ""I was a plumber, child. A good one.""
""I was a fireman. Saved a few lives.""
""I was a machine l…"
276,"Si bien machine learning se ha transformado en un buzz word, su impacto en la industria es innegable. Ejemplos notables @Tesla @awscloud @NetflixResearch

Dada la falta de brain power y creatividad, hay que atraer/capacitar fuerte a profesionales de Cs naturales y Humanidades. https://t.co/CKlYGsDdMP"
277,"RT @williamalves85: @O_its_OH @Joshxlakeshow ""I was a plumber, child. A good one.""
""I was a fireman. Saved a few lives.""
""I was a machine l…"
278,"Maven Wave’s first open-source project, data-describe, solves common exploratory #data analysis challenges such as repetitive tasks, data size limitations, and privacy issues with machine learning data. Learn more: https://t.co/iuUnHbMBIG"
279,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
280,"Machine Learning Engineer (f/m/d) 

https://t.co/0Q9l1icxiV #job #hiring #career"
281,Da #AI e #MachineLearning assist anti-frode alle #telco https://t.co/fN4l9GpFzV https://t.co/y93PK84JPJ
282,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
283,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
284,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
285,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
286,RAPIDS 0.16 delivered exciting innovations in explainable #machinelearning and #automl. Learn more about recent RAPIDS advancements with #TPOT and #SHAP. https://t.co/yLlnBg62jJ
287,"Not only You have to become A Learning-Machine, You have to become an Application-Machine even more! 

#quotes #quote #quoteoftheday #quotestoliveby #lifecoach #LifeChangingTips #lifechanging"
288,"@Sentieo Battle of the buzzwords. Green is ""sustainability""; yellow is ""big data""; red is ""artificial intelligence""; light blue is ""machine learning""; and dark blue is ""ESG"". https://t.co/ADKpIIo9N6"
289,"RT @EuropeanSeed: [REGISTER] For our upcoming Seed World Innovation Webinar: 

Innovation in Plant Breeding: Advancing machine learning for…"
290,"In Asia Pacific (APAC), adoption of artificial intelligence (AI) and machine learning (ML) in financial markets is accelerating. #aiml https://t.co/j59MEtJ51i https://t.co/p7IscHAJ0m"
291,RT @gp_pulipaka: Huge List of Free #DataScience &amp; #Python eBooks. #BigData #Analytics #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java…
292,RT @gp_pulipaka: Huge List of Free #DataScience &amp; #Python eBooks. #BigData #Analytics #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java…
293,I'm bombarded by Machine Learning posts on Twitter. Lol. Gotta love this Twitter feature.
294,RT @gp_pulipaka: Huge List of Free #DataScience &amp; #Python eBooks. #BigData #Analytics #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java…
295,RT @gp_pulipaka: Huge List of Free #DataScience &amp; #Python eBooks. #BigData #Analytics #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java…
296,RT @gp_pulipaka: Huge List of Free #DataScience &amp; #Python eBooks. #BigData #Analytics #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java…
297,RT @gp_pulipaka: Huge List of Free #DataScience &amp; #Python eBooks. #BigData #Analytics #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java…
298,Google AI Launches 'Hum to Search': A New Machine Learning System That Helps To Find A Song By Humming #MachineLearning #learning via https://t.co/bDTgBUIWtG https://t.co/ubesCAGedX
299,Amazing machine learning https://t.co/Um0dVGectD
300,"Contentyze is hiring!

WHO: Mid/Senior Machine Learning Engineer and DevOps (two different people ;)).

WHAT: Contentyze (https://t.co/kbu3MUcRkt) is a content generation platform. You need to have experience with BERT, Transformers, Kubernetes, large ML…https://t.co/SkRgBObDzI"
301,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
302,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
303,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
304,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
305,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
306,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
307,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
308,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
309,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
310,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
311,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
312,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
313,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
314,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
315,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
316,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
317,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
318,"RT @jennifazor: I can only give what I have, I have skill 😎 so part of my 2021 goals is to  teach &amp; train at least 500 people in Machine le…"
319,Why Automated Machine Learning Is Becoming A Must-Have Business Intelligence Skill https://t.co/TNX6syorTm via @VL_solution #Entrepreneur https://t.co/Ll3c81ciMm
320,/ / at first I had this idea where my oc is a machine like katheryne from the guild and the electro vision being source of her energy and life and just her being all fluffy and learning new things from humans but then I thought... what if she's from khaen'riah.
321,"RT @GHahsanHabib02: “Glue code” in Python

#Python is often described as a “glue language,” meaning it can let disparate code (typically li…"
322,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
323,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
324,RT @TDataScience: How to Use Pyspark For Your Machine Learning Project by François St-Amant https://t.co/KEUqacbLNY
325,"Na toll..🙄

#KuenstlicheIntelligenz 
https://t.co/zjSyxMcwfC"
326,"Llevo varios años trabajando en el sector de la tecnología, la programación, Big Data, IoT, Machine Learning, Inteligencia Artificial, Realidad Aumentada y CrowSourcing.

Sinceramente, me pongo a pensar y me da miedo, por lo que estoy haciendo en mi trabajo. ⬇️"
327,"RT @svpino: Don't start your career in Machine Learning by writing a lot of code. You should start by learning to think about problems. 

I…"
328,"RT @PrasoonPratham: Here's what your first 30 days of Machine Learning should look like.

(I wish I had this before)
🧵👇 https://t.co/7LsR7V…"
329,"RT @databrokers1: Also a part of the new $ocean 🖼️ Collection of Annotated Stock Images for Commercial Use &amp; Machine Learning 🧠 ""The Burnin…"
330,"Are you confused about which one to choose between Machine Learning Engineer and Data Scientist for your career role? Then this article will help you in clearing your doubts. Read more to find out the best for you.

Read More 
https://t.co/wAhxxUwIwe https://t.co/g8bEtEdyns"
331,"Also a part of the new $ocean 🖼️ Collection of Annotated Stock Images for Commercial Use &amp; Machine Learning 🧠 ""The Burning Sun of Rio de Janeiro"" 🔥🌞 Maybe this helps a bit through the winter. #brazil #RiodeJaneiro https://t.co/ph7zn96YJh https://t.co/4h88pwQifP"
332,"References of not pulled from the post, with the really important one in **s:

*https://t.co/g1P7waH3NA* &lt;- https://t.co/XR9OEb30eu &lt;- https://t.co/QLZGoBo9ka

https://t.co/VSSYuQ2HId

*https://t.co/vk8TJbKMqp*

*https://t.co/uBBiFLzRLv*

I'd be pretty worried w/soc media timing. https://t.co/ebuwVF9gJI"
333,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
334,"ADDENDUM 11/23/20:

Pulled from CHD via NVIC, pay attention:

*https://t.co/g1P7waH3NA* &lt;- https://t.co/XR9OEb30eu &lt;- https://t.co/QLZGoBo9ka

https://t.co/VSSYuQ2HId

*https://t.co/vk8TJbKMqp*

*https://t.co/uBBiFLzRLv*

The 1st ref was published SPRING 2019, BEFORE EVENT 201."
335,"RT @dsivakumar: I've seen this in algorithms, computational complexity, broader theoretical CS, Web search, information retrieval, web-base…"
336,"RT @PrasoonPratham: My most favourite Machine learning tools : 

- Google colab
- Kaggle
- TensorFlow
- Pytorch
- SciKit Learn
- Pandas
- M…"
337,RT @TDataScience: Train your Machine Learning Model 150x Faster with cuML by @KhuyenTran16  https://t.co/vBIIigGdLZ
338,"PCS Beratungscontor introduces their ""Ready-2-Run"" solution for machine learning with SAP Data Intelligence in this new blog. https://t.co/BapUG2ezpn https://t.co/xYeReRlpgg"
339,Grabの機械学習モデルのserving 基盤 Catwalk S3にTensorFlowのファイルを配置するとフェッチしてk8s上のTF Servingでデプロイ可能になっている。各種モニタリング機構はGrab内の監視機構と連携できるようになっている / “Catwalk: Serving Machine Learning Models at Scale” https://t.co/74RmpdmvTy
340,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
341,"RT @PrasoonPratham: Our one month of machine learning has ended and we've learnt quite a bit and that is awesome! 

I wish you all the best…"
342,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
343,"RT @PrasoonPratham: These set of 12 videos in 12 days will take your machine learning skills from zero to 1, it really is a great course to…"
344,"RT @PrasoonPratham: Machine learning foundations by google developers, I can't recommend this course enough, it helped get started with mac…"
345,"RT @PrasoonPratham: Step 3 : We're now about 17 days into our machine learning journey, here's the course you have to take next.

👇"
346,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
347,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
348,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
349,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
350,"RT @Cyberarms: Drones &amp; machine learning are helping beachgoers get live updates to alert them whenever sharks are in the water
https://t.c…"
351,"@CasewareIDEA Webinar
IDEA Lab: Add-Ons You Need to Have
Powered by latest technologies (p.e.machine learning). Learn about our latest plugins for advanced analytics.
Registar Now! November 25, 2020 (Eastern Time)
10AM ( https://t.co/acCVYVCFRV ) &amp;
8PM ( https://t.co/bevdUTrzvW ) https://t.co/njOjOnbaQv"
352,"RT @PrasoonPratham: Step 1 

Your first 10 days will be spent learning Python from this tutorial

👉www.​youtube.​com/watch?v=rfscVS0vtbw

B…"
353,RT @jamesvgingerich: This #MachineLearning-Focused VC Firm Just Added A Third Woman Investment Partner. (Forbes) #WomenInTech https://t.co/…
354,RT @imsoumyarendra: JUST IN: Amazon Web Services and Drone Federation of India (@dronefed) have partnered to identify solutions by drone ap…
355,"❤️https://t.co/OJqdS9woOg broadcasts Twitter's most shared #dataviz content in FREE realtime reports and weekly digests. Seen this? https://t.co/fVu749fJ0S 

(link first spotted in a tweet from @DanielAKeane10)
#datavisualisation"
356,This #MachineLearning-Focused VC Firm Just Added A Third Woman Investment Partner. (Forbes) #WomenInTech https://t.co/i2CMIYW2uo https://t.co/8fhdRpegHi
357,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
358,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
359,"RT @byLilyV: #FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorit…"
360,"#Digitalisierung - KI bewertet Frauen häufiger nach Aussehen - ""Automatische Bilderkennung kann zwar korrekt sein, aber trotzdem Vorurteile reproduzieren. Das zeigt eine Auswertung kommerzieller KI-Systeme."" - von Sebastian Grüner https://t.co/6qcVcOomk4"
361,"#FEATURED #COURSES

#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science

Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. 

https://t.co/zbEq5DliHi

#CodeNewbies #100DaysOfCode #developer #webdevelopment #WomenWhoCode https://t.co/BrWBphZOFj"
362,"RT @PrasoonPratham: Also keep these points in mind.

&gt; Machine learning is a vast field, the point of this thread is to help you get starte…"
363,"RT @PrasoonPratham: What you are going to look at now is a curriculum I wish I had followed. 

It took me 2 years to get into machine learn…"
364,"Hello everybody,

I have problem with @qwiklabs

""Create ML Models with #BigQueryML: Challenge""
https://t.co/8otT3eOrxa

""Task 5: Use the subscriber type machine learning model to predict average trip durations""

Do you have the same problem?"
365,"RT @PrasoonPratham: Before we begin with the curriculum, make sure you throw these myths out of your mind.

&gt; Machine learning does not req…"
366,"RT @Chr_Zettl: Job offer: #Researcher in scientific #MachineLearning at the
#Cluster of #Excellence ""Machine Learning - New Perspectives fo…"
367,"RT @PrasoonPratham: Here's what your first 30 days of Machine Learning should look like.

(I wish I had this before)
🧵👇 https://t.co/7LsR7V…"
368,"Check out this book -Machine Learning with Python StepByStep
https://t.co/y1p0kzo4Gr

@TwitterBooks @TheBookMaven @bookforum @bookpage @BookRiot @Booksreport @ElectricLit @GalleyCat @goodreads @GuardianBooks @LitChat @HuffPostBooks @latimesbooks @thelithub @The_Millions #book https://t.co/STLMAJU5Sa"
369,"RT @NPR: Using machine learning and AI, researchers behind a $3.3 million project funded by the EU hope to document — and later recreate —…"
370,"Drones &amp; machine learning are helping beachgoers get live updates to alert them whenever sharks are in the water
https://t.co/8ij1bLsKP7"
371,"RT @EvidentlyAI: Unit testing is often overlooked in ML. 

You can test your:
🛢 Data pipelines
🖥 Model outputs
🔗 Integration

@v_vashishta…"
372,"RT @OracleDatabase: The possibilities are endless. 

Make #machinelearning and #datascience projects simpler with our cloud-based technolog…"
373,RT @_andy_lopez_: Visual representation of machine learning! #MachineLearning #holberton #devlife https://t.co/ApdEdCm7yM
374,RT @_andy_lopez_: Visual representation of machine learning! #MachineLearning #holberton #devlife https://t.co/ApdEdCm7yM
375,RT @jajtayl: Looking back - it should be fairly intuitive that you can't really train #deeplearning models on samples of data. #NeuralNetwo…
376,RT @jajtayl: Looking back - it should be fairly intuitive that you can't really train #deeplearning models on samples of data. #NeuralNetwo…
377,"RT @GHahsanHabib02: “Glue code” in Python

#Python is often described as a “glue language,” meaning it can let disparate code (typically li…"
378,RT @jajtayl: Looking back - it should be fairly intuitive that you can't really train #deeplearning models on samples of data. #NeuralNetwo…
379,"“Glue code” in Python

#Python is often described as a “glue language,” meaning it can let disparate code (typically libraries with C language interfaces) interoperate. Its use in data science and machine learning is in this vein, but that’s just one incarnation of the general"
380,"Yg ngaco tu Kasparov si supervisornya series ""Queens Gambit""

Kalah dari komputer Deep Blue tahun 97 (sebelum2nya dia menang)
Dia baru bisa terima kekalahannya, klo gak salah tahun 2012 apa 2014 gitu ya 😂

Pertandingan ini yg jadi cikal bakal AI machine learning"
381,RT @gp_pulipaka: Automated Machine Learning Pipelines. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Python #R…
382,RT @Aditics2: Data Science for Managers [Mindmap] #BigData via https://t.co/UF63LtWPIa https://t.co/bJQWJxFEiB
383,RT @Aditics2: Data Science for Managers [Mindmap] #BigData via https://t.co/UF63LtWPIa https://t.co/bJQWJxFEiB
384,Data Science for Managers [Mindmap] #BigData via https://t.co/UF63LtWPIa https://t.co/bJQWJxFEiB
385,"RT @CapgeminiIndia: Researchers have developed #AI technology that brings together imaging, processing, machine learning and memory in one…"
386,"RT @CapgeminiIndia: Researchers have developed #AI technology that brings together imaging, processing, machine learning and memory in one…"
387,"RT @lior_gazit: Characterizing quantum advantage in machine learning by understanding the power of data

#NLP #MachineLearning
#AI

https:/…"
388,"RT @lior_gazit: Characterizing quantum advantage in machine learning by understanding the power of data

#NLP #MachineLearning
#AI

https:/…"
